name,year,date,location,participants,outcome
Battle of Ivry,1590,14 March 1590,"Ivry-la-Bataille, France",Royalist forces vs Catholic League,Royalist victory; Henry IV secures French throne
Siege of Ostend,1601,5 July 1601 – 22 September 1604,"Ostend, Spanish Netherlands",Dutch Republic vs Spanish Empire,Spanish victory after 3-year siege
Battle of White Mountain,1620,8 November 1620,"Near Prague, Bohemia",Catholic League vs Protestant forces,Catholic victory; Beginning of Thirty Years' War
Siege of La Rochelle,1627,10 September 1627 – 28 October 1628,"La Rochelle, France",Kingdom of France vs Huguenots,French victory; End of Huguenot political power
Battle of Lützen,1632,16 November 1632,"Lützen, Saxony",Swedish forces vs Imperial forces,Swedish tactical victory; Gustavus Adolphus killed
Battle of Rocroi,1643,19 May 1643,"Rocroi, France",Kingdom of France vs Spanish Empire,French victory; End of Spanish military dominance
Battle of Dunkirk,1658,14 June 1658,"Dunkirk, Spanish Netherlands",France and England vs Spain,Anglo-French victory
Battle of the Boyne,1690,1 July 1690,"Near Drogheda, Ireland",Williamite forces vs Jacobite forces,Williamite victory; William III secures English throne
Battle of Steenkerque,1692,3 August 1692,"Steenkerque, Spanish Netherlands",Kingdom of France vs Grand Alliance,French victory
Battle of Landen,1693,29 July 1693,"Landen, Spanish Netherlands",Kingdom of France vs Grand Alliance,French tactical victory
Battle of Blenheim,1704,13 August 1704,"Blindheim, Bavaria",Grand Alliance vs France and Bavaria,Grand Alliance victory; Turning point in War of Spanish Succession
Battle of Ramillies,1706,23 May 1706,"Ramillies, Spanish Netherlands",Grand Alliance vs Kingdom of France,Grand Alliance victory; Marlborough's greatest victory
Battle of Oudenarde,1708,11 July 1708,"Oudenaarde, Belgium",Grand Alliance vs Kingdom of France,Grand Alliance victory
Battle of Malplaquet,1709,11 September 1709,"Near Mons, Belgium",Grand Alliance vs Kingdom of France,Pyrrhic Allied victory; Highest casualty rate of war
Battle of Fontenoy,1745,11 May 1745,"Fontenoy, Austrian Netherlands",Kingdom of France vs Pragmatic Allies,French victory; War of Austrian Succession
Battle of Culloden,1746,16 April 1746,"Culloden Moor, Scotland",British Government forces vs Jacobites,British victory; End of Jacobite Rising
Battle of Rossbach,1757,5 November 1757,"Rossbach, Saxony",Prussia vs France and Holy Roman Empire,Prussian victory; Seven Years' War
Battle of Minden,1759,1 August 1759,"Minden, Westphalia",Britain and allies vs France,Allied victory; Seven Years' War
Battle of Warburg,1760,31 July 1760,"Warburg, Westphalia",Britain and allies vs France,Allied victory
Battle of Bunker Hill,1775,17 June 1775,"Charlestown, Massachusetts",British forces vs American colonial forces,British tactical victory but heavy losses
Battle of Saratoga,1777,19 September – 7 October 1777,"Saratoga, New York",American forces vs British forces,American victory; Turning point in American Revolution
Battle of Yorktown,1781,28 September – 19 October 1781,"Yorktown, Virginia",American and French forces vs British forces,Allied victory; Effective end of American Revolution
Battle of Valmy,1792,20 September 1792,"Valmy, France",French Revolutionary forces vs Prussian forces,French victory; Saved the Revolution
Battle of Jemappes,1792,6 November 1792,"Jemappes, Austrian Netherlands",French forces vs Austrian forces,French victory; Conquest of Austrian Netherlands
Battle of Neerwinden,1793,18 March 1793,"Neerwinden, Austrian Netherlands",Austrian forces vs French forces,Austrian victory
Battle of Fleurus,1794,26 June 1794,"Fleurus, Austrian Netherlands",French forces vs Coalition forces,French victory; Secured French control of Belgium
Battle of the Pyramids,1798,21 July 1798,"Near Cairo, Egypt",French forces vs Mamluk forces,French victory; Napoleon's Egyptian campaign
Battle of the Nile,1798,1–3 August 1798,"Aboukir Bay, Egypt",British Royal Navy vs French Navy,British victory; Nelson destroys French fleet
Battle of Marengo,1800,14 June 1800,"Marengo, Italy",French forces vs Austrian forces,French victory; Secured Napoleon's power
Battle of Copenhagen,1801,2 April 1801,"Copenhagen, Denmark",British Royal Navy vs Danish-Norwegian Navy,British victory; Nelson's famous signal
Battle of Trafalgar,1805,21 October 1805,"Cape Trafalgar, Spain",British Royal Navy vs Franco-Spanish Navy,British victory; Nelson killed; British naval supremacy secured
Battle of Austerlitz,1805,2 December 1805,"Austerlitz, Moravia",French Empire vs Austria and Russia,French victory; Napoleon's greatest tactical triumph
Battle of Jena-Auerstedt,1806,14 October 1806,"Jena and Auerstedt, Prussia",French Empire vs Kingdom of Prussia,French victory; Destruction of Prussian army
Battle of Eylau,1807,7–8 February 1807,"Eylau, East Prussia",French Empire vs Russian Empire and Prussia,Indecisive; Bloodiest battle to that date
Battle of Friedland,1807,14 June 1807,"Friedland, East Prussia",French Empire vs Russian Empire,French victory; Treaty of Tilsit follows
Battle of Wagram,1809,5–6 July 1809,"Wagram, Austria",French Empire vs Austrian Empire,French victory; Austria sues for peace
Battle of Talavera,1809,27–28 July 1809,"Talavera, Spain",British and Spanish vs French forces,Allied victory; Peninsular War
Battle of Busaco,1810,27 September 1810,"Busaco, Portugal",British and Portuguese vs French forces,Allied victory; Wellington's defensive success
Battle of Albuera,1811,16 May 1811,"Albuera, Spain",British and allies vs French forces,Allied victory but very costly
Battle of Salamanca,1812,22 July 1812,"Salamanca, Spain",British and allies vs French forces,Allied victory; Wellington's greatest battle
Battle of Borodino,1812,7 September 1812,"Near Moscow, Russia",French Empire vs Russian Empire,French tactical victory but strategic failure
Battle of Leipzig,1813,16–19 October 1813,"Leipzig, Saxony",Coalition forces vs French Empire,Coalition victory; Largest battle before WWI
Battle of Vitoria,1813,21 June 1813,"Vitoria, Spain",British and allies vs French forces,Allied victory; French expelled from Spain
Battle of Waterloo,1815,18 June 1815,"Waterloo, Belgium",Britain and allies vs French Empire,Allied victory; Napoleon's final defeat
Battle of Navarino,1827,20 October 1827,"Navarino Bay, Greece",Britain-France-Russia vs Ottoman-Egypt,Allied victory; Greek independence secured
Battle of Antwerp,1832,30 November – 23 December 1832,"Antwerp, Belgium",French forces vs Dutch forces,French victory; Belgian independence confirmed
Battle of Solferino,1859,24 June 1859,"Solferino, Italy",France and Piedmont vs Austrian Empire,Allied victory; Led to founding of Red Cross
Battle of Sadowa,1866,3 July 1866,"Sadowa, Bohemia",Prussia vs Austrian Empire,Prussian victory; Austro-Prussian War
Battle of Sedan,1870,1 September 1870,"Sedan, France",Kingdom of Prussia vs French Empire,Prussian victory; Napoleon III captured; End of Second Empire
Siege of Paris,1870,19 September 1870 – 28 January 1871,"Paris, France",German forces vs French forces,German victory; Franco-Prussian War
Battle of Gravelotte,1870,18 August 1870,"Gravelotte, France",Prussia vs France,Prussian victory; Largest battle of Franco-Prussian War
Battle of Le Mans,1871,10–12 January 1871,"Le Mans, France",German forces vs French forces,German victory
Battle of Omdurman,1898,2 September 1898,"Omdurman, Sudan",British and Egyptian forces vs Mahdist forces,British victory; Churchill participated
Battle of Mons,1914,23 August 1914,"Mons, Belgium",British Expeditionary Force vs German Empire,German tactical victory; First BEF engagement
First Battle of the Marne,1914,5–12 September 1914,"Marne River, France",French and British vs German forces,Allied victory; Saved Paris; End of mobile warfare
First Battle of Ypres,1914,19 October – 22 November 1914,"Ypres, Belgium",British and French vs German forces,Allied defensive victory; 'Race to the Sea' ends
Battle of Tannenberg,1914,26–30 August 1914,"Tannenberg, East Prussia",German Empire vs Russian Empire,Decisive German victory; Russian invasion halted
Battle of Neuve Chapelle,1915,10–13 March 1915,"Neuve-Chapelle, France",British forces vs German forces,Limited British success; First planned British offensive
Second Battle of Ypres,1915,22 April – 25 May 1915,"Ypres, Belgium",German forces vs British and French,German tactical victory; First use of poison gas on Western Front
Battle of Loos,1915,25 September – 8 October 1915,"Loos-en-Gohelle, France",British forces vs German forces,German defensive victory; First British use of poison gas
Battle of Verdun,1916,21 February – 18 December 1916,"Verdun, France",France vs German Empire,French strategic victory; Longest battle of WWI; 700000+ casualties
Battle of the Somme,1916,1 July – 18 November 1916,"Somme River, France",British and French vs German Empire,Indecisive; Over 1 million casualties; Bloodiest day in British military history
Battle of Jutland,1916,31 May – 1 June 1916,North Sea,British Grand Fleet vs German High Seas Fleet,Indecisive; British strategic victory; Largest naval battle
Battle of Flers-Courcelette,1916,15–22 September 1916,"Flers-Courcelette, France",British forces vs German forces,Limited Allied success; First use of tanks in warfare
Battle of Arras,1917,9 April – 16 May 1917,"Arras, France",British forces vs German forces,Limited British success; Vimy Ridge captured
Battle of Vimy Ridge,1917,9–12 April 1917,"Vimy Ridge, France",Canadian Corps vs German forces,Canadian victory; Defining moment for Canada
Second Battle of the Aisne,1917,16 April – 9 May 1917,"Aisne River, France",French forces vs German forces,German defensive victory; French mutinies follow
Battle of Messines,1917,7–14 June 1917,"Messines, Belgium",British forces vs German forces,British victory; Massive mine explosions
Third Battle of Ypres,1917,31 July – 10 November 1917,"Ypres, Belgium",British Empire vs German Empire,Limited Allied success; Also known as Passchendaele; 500000+ casualties
Battle of Passchendaele,1917,26 October – 10 November 1917,"Passchendaele, Belgium",British and Canadian forces vs German forces,Allied victory; Final phase of Third Ypres; Mud and blood
Battle of Cambrai,1917,20 November – 7 December 1917,"Cambrai, France",British forces vs German forces,Initially successful British tank attack; German counter-attack
Battle of Caporetto,1917,24 October – 19 November 1917,"Caporetto, Italy",Austria-Hungary and Germany vs Italy,Central Powers victory; Near-collapse of Italian army
Spring Offensive,1918,21 March – 18 July 1918,"Western Front, France and Belgium",German Empire vs Allied forces,Initial German success; Ultimate strategic failure
Battle of Amiens,1918,8–12 August 1918,"Amiens, France",Allied forces vs German Empire,Decisive Allied victory; 'Black Day' for German army; Beginning of Hundred Days Offensive
Second Battle of the Marne,1918,15 July – 6 August 1918,"Marne River, France",Allied forces vs German Empire,Decisive Allied victory; Last major German offensive
Battle of Belleau Wood,1918,1–26 June 1918,"Belleau Wood, France",US Marine Corps vs German forces,American victory; 'Devil Dogs' reputation earned
Meuse-Argonne Offensive,1918,26 September – 11 November 1918,"Meuse-Argonne, France",American forces vs German forces,American victory; Largest American battle; War ends during offensive
Battle of Vittorio Veneto,1918,24 October – 3 November 1918,"Vittorio Veneto, Italy",Allied forces vs Austria-Hungary,Decisive Allied victory; Collapse of Austria-Hungary
Invasion of Poland,1939,1–6 September 1939,Poland,Nazi Germany and Soviet Union vs Poland,Axis victory; Beginning of World War II
Battle of France,1940,10 May – 25 June 1940,France and Low Countries,Nazi Germany vs France and Allies,German victory; Fall of France; Dunkirk evacuation
Battle of Dunkirk,1940,26 May – 4 June 1940,"Dunkirk, France",British and French vs Nazi Germany,German tactical victory; Allied strategic success with evacuation of 338000 troops
Battle of Britain,1940,10 July – 31 October 1940,United Kingdom,Royal Air Force vs Luftwaffe,British victory; First major defeat for Nazi Germany; German invasion prevented
Battle of Taranto,1940,11–12 November 1940,"Taranto, Italy",British Royal Navy vs Italian Navy,British victory; Demonstrated carrier-based air power
Battle of Cape Matapan,1941,27–29 March 1941,"Near Cape Matapan, Greece",British Royal Navy vs Italian Navy,British victory; Italian fleet crippled
Battle of Crete,1941,20 May – 1 June 1941,"Crete, Greece",Nazi Germany vs Allied forces,German victory; First major airborne invasion
Operation Barbarossa,1941,22 June – 5 December 1941,Soviet Union,Nazi Germany vs Soviet Union,Initial German success; Soviet strategic victory; Moscow saved
Battle of Moscow,1941,2 October 1941 – 7 January 1942,"Moscow, Soviet Union",Nazi Germany vs Soviet Union,Soviet victory; First major German defeat
Siege of Leningrad,1941,8 September 1941 – 27 January 1944,"Leningrad, Soviet Union",Nazi Germany vs Soviet Union,Soviet victory after 872-day siege; Over 1 million civilian deaths
Battle of Stalingrad,1942,23 August 1942 – 2 February 1943,"Stalingrad, Soviet Union",Nazi Germany vs Soviet Union,Decisive Soviet victory; Turning point on Eastern Front; Over 2 million casualties
Battle of El Alamein,1942,23 October – 11 November 1942,"El Alamein, Egypt",British Commonwealth vs Axis forces,Allied victory; Turning point in North Africa
Operation Torch,1942,8–16 November 1942,"French North Africa",Allied forces vs Vichy French and Axis,Allied victory; US enters European theater
Battle of Kursk,1943,5 July – 23 August 1943,"Kursk, Soviet Union",Nazi Germany vs Soviet Union,Decisive Soviet victory; Largest tank battle in history
Battle of Sicily,1943,9 July – 17 August 1943,"Sicily, Italy",Allied forces vs Axis forces,Allied victory; Italy invaded
Battle of Monte Cassino,1944,17 January – 18 May 1944,"Cassino, Italy",Allied forces vs Nazi Germany,Allied victory after four costly assaults; Road to Rome opened
D-Day,1944,6 June 1944,"Normandy, France",Allied forces vs Nazi Germany,Allied victory; Largest amphibious invasion; Liberation of Western Europe begins
Battle of Normandy,1944,6 June – 25 August 1944,"Normandy, France",Allied forces vs Nazi Germany,Allied victory; Breakout from Normandy; Liberation of France
Operation Market Garden,1944,17–25 September 1944,"Netherlands",Allied forces vs Nazi Germany,German victory; 'A Bridge Too Far'; Allied airborne operation fails
Battle of the Bulge,1944,16 December 1944 – 25 January 1945,"Ardennes, Belgium",Nazi Germany vs Allied forces,Allied victory; Last major German offensive; 'Nuts!' reply at Bastogne
Battle of Berlin,1945,16 April – 2 May 1945,"Berlin, Germany",Soviet Union vs Nazi Germany,Soviet victory; Hitler commits suicide; End of Nazi Germany
Battle of Okinawa,1945,1 April – 22 June 1945,"Okinawa, Japan",United States vs Japan,American victory; Last major battle of WWII; Influenced decision to use atomic bombs
